"Town","FIPS","Birth.Weight","Gestational.Age","Initiation.of.Prenatal.Care","Smoking.During.Pregnancy","Earliest.Data.Available"
"Andover",901301080,"All","37 weeks or more","All","All","2014"
"Andover",901301080,"All","37 weeks or more","All","No","2014"
"Andover",901301080,"All","37 weeks or more","All","Unknown",NA
"Andover",901301080,"All","37 weeks or more","All","Yes","2014"
"Andover",901301080,"All","37 weeks or more","First Trimester","All","2014"
"Andover",901301080,"All","37 weeks or more","None","All",NA
"Andover",901301080,"All","37 weeks or more","Second Trimester","All","2012-2014"
"Andover",901301080,"All","37 weeks or more","Third Trimester","All","2014"
"Andover",901301080,"All","37 weeks or more","Unknown","All",NA
"Andover",901301080,"All","All","All","All","2014"
"Andover",901301080,"All","All","All","No","2014"
"Andover",901301080,"All","All","All","Unknown",NA
"Andover",901301080,"All","All","All","Yes","2014"
"Andover",901301080,"All","All","First Trimester","All","2014"
"Andover",901301080,"All","All","None","All",NA
"Andover",901301080,"All","All","Second Trimester","All","2012-2014"
"Andover",901301080,"All","All","Third Trimester","All","2014"
"Andover",901301080,"All","All","Unknown","All",NA
"Andover",901301080,"All","Gestational age unknown","All","All",NA
"Andover",901301080,"All","Gestational age unknown","All","No",NA
"Andover",901301080,"All","Gestational age unknown","All","Unknown",NA
"Andover",901301080,"All","Gestational age unknown","All","Yes",NA
"Andover",901301080,"All","Gestational age unknown","First Trimester","All",NA
"Andover",901301080,"All","Gestational age unknown","None","All",NA
"Andover",901301080,"All","Gestational age unknown","Second Trimester","All",NA
"Andover",901301080,"All","Gestational age unknown","Third Trimester","All",NA
"Andover",901301080,"All","Gestational age unknown","Unknown","All",NA
"Andover",901301080,"All","Less than 37 weeks","All","All","2014"
"Andover",901301080,"All","Less than 37 weeks","All","No","2014"
"Andover",901301080,"All","Less than 37 weeks","All","Unknown",NA
"Andover",901301080,"All","Less than 37 weeks","All","Yes",NA
"Andover",901301080,"All","Less than 37 weeks","First Trimester","All","2014"
"Andover",901301080,"All","Less than 37 weeks","None","All",NA
"Andover",901301080,"All","Less than 37 weeks","Second Trimester","All","2010-2014"
"Andover",901301080,"All","Less than 37 weeks","Third Trimester","All",NA
"Andover",901301080,"All","Less than 37 weeks","Unknown","All",NA
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","All","Yes",NA
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2010-2014"
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Andover",901301080,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","All","No","2010-2014"
