"Town","Birth.Weight","Gestational.Age","Mother.s.Age","Mother.s.Race.Ethnicity","Earliest.Data.Available"
"Andover","All","37 weeks or more","0 to 14 years","All",NA
"Andover","All","37 weeks or more","15 to 19 years","All","2010-2014"
"Andover","All","37 weeks or more","20 to 24 years","All","2014"
"Andover","All","37 weeks or more","25 to 29 years","All","2014"
"Andover","All","37 weeks or more","30 to 34 years","All","2014"
"Andover","All","37 weeks or more","35 to 39 years","All","2014"
"Andover","All","37 weeks or more","40 to 44 years","All","2012-2014"
"Andover","All","37 weeks or more","45 years and older","All","2012-2014"
"Andover","All","37 weeks or more","All","All","2014"
"Andover","All","37 weeks or more","All","Black",NA
"Andover","All","37 weeks or more","All","Black non-Hispanic",NA
"Andover","All","37 weeks or more","All","Hispanic","2012-2014"
"Andover","All","37 weeks or more","All","Non-Hispanic","2014"
"Andover","All","37 weeks or more","All","Other",NA
"Andover","All","37 weeks or more","All","Other non-Hispanic",NA
"Andover","All","37 weeks or more","All","Unknown Ethnicity",NA
"Andover","All","37 weeks or more","All","Unknown Race",NA
"Andover","All","37 weeks or more","All","Unknown Race/Ethnicity",NA
"Andover","All","37 weeks or more","All","White","2014"
"Andover","All","37 weeks or more","All","White non-Hispanic","2014"
"Andover","All","37 weeks or more","Unknown","All",NA
"Andover","All","All","0 to 14 years","All",NA
"Andover","All","All","15 to 19 years","All","2010-2014"
"Andover","All","All","20 to 24 years","All","2014"
"Andover","All","All","25 to 29 years","All","2014"
"Andover","All","All","30 to 34 years","All","2014"
"Andover","All","All","35 to 39 years","All","2014"
"Andover","All","All","40 to 44 years","All","2012-2014"
"Andover","All","All","45 years and older","All","2012-2014"
"Andover","All","All","All","All","2014"
"Andover","All","All","All","Black",NA
"Andover","All","All","All","Black non-Hispanic",NA
"Andover","All","All","All","Hispanic","2012-2014"
"Andover","All","All","All","Non-Hispanic","2014"
"Andover","All","All","All","Other","2010-2014"
"Andover","All","All","All","Other non-Hispanic","2010-2014"
"Andover","All","All","All","Unknown Ethnicity",NA
"Andover","All","All","All","Unknown Race",NA
"Andover","All","All","All","Unknown Race/Ethnicity",NA
"Andover","All","All","All","White","2014"
"Andover","All","All","All","White non-Hispanic","2014"
"Andover","All","All","Unknown","All",NA
"Andover","All","Gestational age unknown","0 to 14 years","All",NA
"Andover","All","Gestational age unknown","15 to 19 years","All",NA
"Andover","All","Gestational age unknown","20 to 24 years","All",NA
"Andover","All","Gestational age unknown","25 to 29 years","All",NA
"Andover","All","Gestational age unknown","30 to 34 years","All",NA
"Andover","All","Gestational age unknown","35 to 39 years","All",NA
"Andover","All","Gestational age unknown","40 to 44 years","All",NA
"Andover","All","Gestational age unknown","45 years and older","All",NA
"Andover","All","Gestational age unknown","All","All",NA
"Andover","All","Gestational age unknown","All","Black",NA
"Andover","All","Gestational age unknown","All","Black non-Hispanic",NA
"Andover","All","Gestational age unknown","All","Hispanic",NA
"Andover","All","Gestational age unknown","All","Non-Hispanic",NA
"Andover","All","Gestational age unknown","All","Other",NA
"Andover","All","Gestational age unknown","All","Other non-Hispanic",NA
"Andover","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Andover","All","Gestational age unknown","All","Unknown Race",NA
"Andover","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
