"Town","Birth.Weight","Gestational.Age","Mother.s.Education","Mother.s.Marital.Status","Earliest.Data.Available"
"Andover","All","37 weeks or more","All","All","2014"
"Andover","All","37 weeks or more","All","Married","2014"
"Andover","All","37 weeks or more","All","Unknown",NA
"Andover","All","37 weeks or more","All","Unmarried","2014"
"Andover","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Andover","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Andover","All","37 weeks or more","Less than 12 years","All","2012-2014"
"Andover","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Andover","All","37 weeks or more","Unknown","All",NA
"Andover","All","All","All","All","2014"
"Andover","All","All","All","Married","2014"
"Andover","All","All","All","Unknown",NA
"Andover","All","All","All","Unmarried","2014"
"Andover","All","All","College (13-16 yrs)","All","2014"
"Andover","All","All","High School (12 yrs or GED)","All","2014"
"Andover","All","All","Less than 12 years","All","2012-2014"
"Andover","All","All","Post-College (17 or more yrs)","All","2014"
"Andover","All","All","Unknown","All",NA
"Andover","All","Gestational age unknown","All","All",NA
"Andover","All","Gestational age unknown","All","Married",NA
"Andover","All","Gestational age unknown","All","Unknown",NA
"Andover","All","Gestational age unknown","All","Unmarried",NA
"Andover","All","Gestational age unknown","College (13-16 yrs)","All",NA
"Andover","All","Gestational age unknown","High School (12 yrs or GED)","All",NA
"Andover","All","Gestational age unknown","Less than 12 years","All",NA
"Andover","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Andover","All","Gestational age unknown","Unknown","All",NA
"Andover","All","Less than 37 weeks","All","All","2014"
"Andover","All","Less than 37 weeks","All","Married","2012-2014"
"Andover","All","Less than 37 weeks","All","Unknown",NA
"Andover","All","Less than 37 weeks","All","Unmarried","2014"
"Andover","All","Less than 37 weeks","College (13-16 yrs)","All","2012-2014"
"Andover","All","Less than 37 weeks","High School (12 yrs or GED)","All","2014"
"Andover","All","Less than 37 weeks","Less than 12 years","All",NA
"Andover","All","Less than 37 weeks","Post-College (17 or more yrs)","All",NA
"Andover","All","Less than 37 weeks","Unknown","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","Unmarried",NA
"Andover","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Married","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Ansonia","All","37 weeks or more","All","All","2014"
"Ansonia","All","37 weeks or more","All","Married","2014"
"Ansonia","All","37 weeks or more","All","Unknown","2010-2014"
"Ansonia","All","37 weeks or more","All","Unmarried","2014"
"Ansonia","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Ansonia","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Ansonia","All","37 weeks or more","Less than 12 years","All","2014"
"Ansonia","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Ansonia","All","37 weeks or more","Unknown","All",NA
"Ansonia","All","All","All","All","2014"
"Ansonia","All","All","All","Married","2014"
"Ansonia","All","All","All","Unknown","2010-2014"
"Ansonia","All","All","All","Unmarried","2014"
"Ansonia","All","All","College (13-16 yrs)","All","2014"
"Ansonia","All","All","High School (12 yrs or GED)","All","2014"
"Ansonia","All","All","Less than 12 years","All","2014"
"Ansonia","All","All","Post-College (17 or more yrs)","All","2014"
"Ansonia","All","All","Unknown","All",NA
"Ansonia","All","Gestational age unknown","All","All","2012-2014"
"Ansonia","All","Gestational age unknown","All","Married","2010-2014"
"Ansonia","All","Gestational age unknown","All","Unknown",NA
"Ansonia","All","Gestational age unknown","All","Unmarried","2012-2014"
"Ansonia","All","Gestational age unknown","College (13-16 yrs)","All",NA
"Ansonia","All","Gestational age unknown","High School (12 yrs or GED)","All","2012-2014"
"Ansonia","All","Gestational age unknown","Less than 12 years","All",NA
"Ansonia","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Ansonia","All","Gestational age unknown","Unknown","All",NA
"Ansonia","All","Less than 37 weeks","All","All","2014"
"Ansonia","All","Less than 37 weeks","All","Married","2014"
"Ansonia","All","Less than 37 weeks","All","Unknown",NA
"Ansonia","All","Less than 37 weeks","All","Unmarried","2014"
"Ansonia","All","Less than 37 weeks","College (13-16 yrs)","All","2014"
"Ansonia","All","Less than 37 weeks","High School (12 yrs or GED)","All","2014"
"Ansonia","All","Less than 37 weeks","Less than 12 years","All","2014"
"Ansonia","All","Less than 37 weeks","Post-College (17 or more yrs)","All","2014"
"Ansonia","All","Less than 37 weeks","Unknown","All",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All","2012-2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Married","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Ashford","All","37 weeks or more","All","All","2014"
"Ashford","All","37 weeks or more","All","Married","2014"
"Ashford","All","37 weeks or more","All","Unknown",NA
"Ashford","All","37 weeks or more","All","Unmarried","2014"
"Ashford","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Ashford","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Ashford","All","37 weeks or more","Less than 12 years","All","2014"
"Ashford","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Ashford","All","37 weeks or more","Unknown","All",NA
"Ashford","All","All","All","All","2014"
"Ashford","All","All","All","Married","2014"
"Ashford","All","All","All","Unknown",NA
